id,Year,Cantril ladder score
68,2019,4.583
68,2018,4.5086
68,2017,4.4097
68,2016,4.553
68,2015,4.356
68,2014,4.419
68,2011,4.180273
73,2021,6.1061
73,2020,6.1061
73,2019,6.1021
73,2018,6.0207
73,2017,6.0834
73,2016,6.105
73,2015,6.239
73,2014,6.295
73,2011,6.574075
69,2022,5.8253
69,2021,5.8285
69,2020,5.7436
69,2019,5.5415
69,2018,5.2607
69,2017,5.1308
69,2016,5.004
69,2015,5.185
69,2014,5.286
69,2011,4.828298
75,2022,5.1107
75,2021,5.1403
75,2020,5.03
75,2019,4.8886
75,2018,4.7963
75,2017,4.6231
75,2015,4.876
75,2014,4.876
75,2011,5.161074
82,2022,6.2127
82,2021,6.1804
82,2020,6.032
82,2019,5.95
82,2018,5.9397
82,2017,5.9331
82,2016,5.85
82,2015,5.56
82,2014,5.098
82,2011,4.76201
76,2022,2.3922
76,2021,2.9553
76,2020,4.5838
76,2019,4.7715
76,2018,5.1973
76,2017,5.1989
76,2016,5.225
76,2015,5.129
76,2014,4.839
76,2011,5.049216
79,2021,3.5118
79,2020,3.5118
79,2019,3.6528
79,2018,3.8019
79,2017,3.8082
79,2016,3.808
79,2014,4.898
78,2022,4.0423
78,2021,5.1215
78,2020,4.6252
78,2019,4.5579
78,2018,3.9753
78,2017,3.4954
78,2016,3.533
78,2015,3.622
78,2014,4.571
78,2011,4.039651
83,2021,5.3302
83,2020,5.4103
83,2019,5.4888
83,2018,5.5253
83,2017,5.5657
83,2016,5.525
83,2015,5.615
83,2014,5.754
83,2011,5.177599
80,2022,6.763
80,2021,6.4456
80,2020,6.2554
80,2019,6.2155
80,2018,6.149
80,2017,5.9519
80,2016,5.902
80,2015,5.813
80,2014,5.833
80,2011,5.588069
81,2022,7.2279
81,2021,7.404
81,2020,7.3244
81,2019,7.2375
81,2018,7.0903
81,2017,6.9099
81,2016,6.863
81,2015,6.871
81,2014,6.946
81,2011,7.050853
87,2022,4.0191
87,2021,4.3391
87,2020,4.2085
87,2019,4.1656
87,2018,3.9327
87,2017,3.7736
87,2016,3.644
87,2015,3.695
87,2014,3.681
87,2011,4.309328
96,2022,3.4952
96,2021,3.7504
96,2020,3.06
96,2019,3.538
96,2018,3.4098
96,2017,3.5868
96,2016,3.97
96,2015,4.156
96,2014,4.292
96,2011,4.623671
98,2022,6.0123
98,2021,5.7113
98,2020,5.3843
98,2019,5.3843
98,2018,5.3388
98,2017,6.3221
98,2016,6.084
98,2015,6.005
98,2014,5.77
98,2011,5.823207
95,2020,5.1976
95,2019,5.1976
89,2022,4.1978
89,2021,4.479
89,2020,4.7235
89,2019,4.7293
89,2018,4.3904
89,2017,4.447
89,2016,4.19
89,2015,4.073
89,2014,3.995
89,2011,3.966874
93,2022,6.2999
93,2021,6.4469
93,2020,6.602
93,2019,6.7728
93,2018,6.7256
93,2017,6.6266
93,2016,6.527
93,2015,6.488
93,2014,6.302
93,2011,5.959978
92,2022,4.7239
92,2021,4.1526
92,2020,4.2274
92,2019,4.3746
92,2018,4.4903
92,2017,4.3555
92,2016,4.292
92,2015,4.201
92,2014,4.436
92,2011,4.64289
94,2022,5.9023
94,2021,6.0711
94,2020,6.049
94,2019,6.1013
94,2018,5.8882
94,2017,5.8915
94,2016,5.629
94,2015,5.648
94,2014,5.477
94,2011,5.477073
97,2022,6.3295
97,2021,6.1276
97,2020,6.3168
97,2019,6.465
97,2018,6.5945
97,2017,6.4882
97,2016,6.578
97,2015,6.778
97,2014,7.187
97,2011,6.740288
85,2022,5.8192
85,2021,5.8568
85,2020,5.7664
85,2019,5.6075
85,2018,5.5285
85,2017,5.6397
85,2016,5.838
85,2015,5.897
85,2014,5.889
85,2011,5.3054
91,2022,5.8402
91,2021,5.7607
91,2020,5.6772
91,2019,5.4562
91,2018,5.2854
91,2017,5.1246
91,2016,4.955
91,2015,4.907
91,2014,4.874
91,2011,4.562082
86,2022,5.7222
86,2021,5.5468
86,2020,5.5805
86,2019,5.5461
86,2018,5.5229
86,2017,5.3475
86,2016,5.237
86,2015,5.161
86,2014,5.192
86,2011,5.146845
84,2022,4.9028
84,2021,5.0599
84,2020,4.918
84,2019,5.0948
84,2018,5.2081
84,2017,5.2537
84,2016,5.235
84,2015,5.151
84,2014,5.013
84,2011,4.793151
99,2022,4.954
99,2021,5.0483
99,2020,4.7945
99,2019,4.6236
99,2018,4.4662
99,2017,4.4166
99,2016,4.55
99,2014,4.971
99,2011,4.692764
90,2022,4.3725
90,2021,4.3942
90,2020,4.4258
90,2019,4.308
90,2018,4.3604
90,2017,4.3078
90,2016,4.545
90,2015,4.395
90,2014,4.307
90,2011,5.321977
100,2022,4.6308
100,2021,4.4594
100,2020,4.5741
100,2019,4.5711
100,2018,4.6392
100,2017,4.4413
100,2016,4.574
100,2015,4.574
100,2011,4.885587
106,2022,5.3603
106,2021,5.3765
106,2020,5.2689
106,2019,5.1372
106,2018,4.9127
106,2017,4.8804
106,2016,4.962
106,2015,4.793
106,2014,4.514
106,2011,4.474119
104,2022,7.403
104,2021,7.4149
104,2020,7.464
104,2019,7.4489
104,2018,7.4876
104,2017,7.4413
104,2016,7.377
104,2015,7.339
104,2014,7.378
104,2011,7.512336
107,2022,7.1229
107,2021,7.1998
107,2020,7.2766
107,2019,7.2996
107,2018,7.3075
107,2017,7.3238
107,2016,7.314
107,2015,7.334
107,2014,7.286
107,2011,7.372486
103,2022,6.2588
103,2021,6.1646
103,2020,5.9721
103,2019,6.1371
103,2018,6.105
103,2017,6.141
103,2016,6.071
103,2015,5.992
103,2014,5.828
103,2011,5.114866
101,2022,4.5013
101,2021,5.0035
101,2020,5.0741
101,2019,4.9096
101,2018,4.6275
101,2017,4.1655
101,2016,4.028
101,2015,3.856
101,2014,3.845
101,2011,4.121817
102,2022,4.9806
102,2021,4.552
102,2020,4.7593
102,2019,4.7241
102,2018,5.2646
102,2017,5.1554
102,2016,5.074
102,2015,4.875
102,2014,5.268
102,2011,4.855947
88,2022,5.2536
88,2021,5.199
88,2020,5.1012
88,2019,5.1598
88,2018,5.2736
88,2017,5.1848
88,2016,5.175
88,2015,5.121
88,2014,5.007
88,2011,4.369255
105,2022,7.3155
105,2021,7.3651
105,2020,7.3925
105,2019,7.488
105,2018,7.5539
105,2017,7.5937
105,2016,7.537
105,2015,7.498
105,2014,7.522
105,2011,7.524001
108,2014,6.853
112,2022,4.5554
112,2021,4.5158
112,2020,4.934
112,2019,5.6933
112,2018,5.653
112,2017,5.4725
112,2016,5.269
112,2015,5.132
112,2014,5.194
112,2011,5.1487
109,2022,6.2645
109,2021,6.3091
109,2020,6.1796
109,2019,6.3048
109,2018,6.3213
109,2017,6.43
109,2016,6.452
109,2015,6.701
109,2014,6.786
109,2011,6.862561
115,2022,5.7378
115,2021,5.5783
115,2020,5.6526
115,2019,5.6921
115,2018,5.7427
115,2017,5.6806
115,2016,5.493
115,2015,5.538
115,2014,5.878
115,2011,5.398257
110,2022,5.5259
110,2021,5.5591
110,2020,5.8396
110,2019,5.7968
110,2018,5.6971
110,2017,5.6632
110,2016,5.715
110,2015,5.743
110,2014,5.824
110,2011,5.25838
111,2022,5.5229
111,2021,5.9036
111,2020,5.8802
111,2019,6.006
111,2018,5.6314
111,2017,5.5241
111,2016,5.43
111,2015,5.279
111,2014,5.073
111,2011,4.825137
113,2022,6.2597
113,2021,6.1228
113,2020,6.1661
113,2019,6.1863
113,2018,6.1817
113,2017,6.123
113,2016,5.973
113,2015,5.835
113,2014,5.791
113,2011,5.803043
114,2022,5.968
114,2021,6.0163
114,2020,5.929
114,2019,5.9109
114,2018,5.6925
114,2017,5.4104
114,2016,5.195
114,2015,5.123
114,2014,5.102
114,2011,5.327314
116,2018,6.3745
116,2017,6.3745
116,2016,6.375
116,2015,6.375
116,2014,6.611
116,2011,6.569056
117,2022,6.5891
117,2021,6.477
117,2020,6.14
